date,ticker,weighted compound sentiment score
2011-05-13,NVDA,0.5033
2011-07-21,NVDA,-0.2535
2011-07-25,NVDA,-0.343
2011-08-01,NVDA,-0.7096
2011-08-11,NVDA,0.6317
2011-08-12,NVDA,-0.5013
2011-08-23,NVDA,0.5827
2011-09-06,NVDA,-0.125
2011-09-07,NVDA,0.8464
2011-10-04,NVDA,-0.5781
2011-10-20,NVDA,0.5574
2011-11-01,NVDA,-0.8671999999999999
2011-11-10,NVDA,-0.10559999999999993
2011-11-11,NVDA,0.6249
2011-11-21,NVDA,0.8103
2011-11-22,NVDA,0.7578999999999999
2011-11-30,NVDA,0.2023
2012-01-05,NVDA,-0.6124
2012-01-24,NVDA,-0.8484
2012-01-25,NVDA,0.7506
2012-02-15,NVDA,0.5736
2012-02-16,NVDA,0.4232
2012-03-28,NVDA,0.7702000000000001
2012-05-07,NVDA,0.9093
2012-05-11,NVDA,0.612066497810595
2012-06-11,NVDA,0.34
2012-06-19,NVDA,-0.6597
2012-08-09,NVDA,0.5736
2012-11-09,NVDA,0.4063
2013-01-07,NVDA,0.7676
2013-02-14,NVDA,0.8578
2013-04-12,NVDA,0.8809000000000001
2013-05-10,NVDA,-0.2829
2013-05-14,NVDA,0.4215
2013-06-19,NVDA,0.5579
2013-11-18,NVDA,0.0971
2014-02-12,NVDA,0.1916
2014-03-19,NVDA,0.0
2014-04-01,NVDA,0.0
2014-05-06,NVDA,-0.6597
2014-05-08,NVDA,-0.4063
2014-05-19,NVDA,0.4232
2014-08-07,NVDA,0.1916
2014-08-08,NVDA,0.659
2015-02-11,NVDA,-0.3058
2015-03-23,NVDA,-0.2732
2015-05-08,NVDA,-0.765
2015-05-27,NVDA,0.2732
2015-08-06,NVDA,-0.19025530885283234
2015-08-26,NVDA,-0.10269999999999999
2015-10-30,NVDA,0.0
2015-11-05,NVDA,-0.3058
2015-11-06,NVDA,0.7351000000000001
2016-01-14,NVDA,-0.1779
2016-02-17,NVDA,-0.3058
2016-05-12,NVDA,0.6621
2016-05-13,NVDA,0.749
2016-06-13,NVDA,0.0
2016-07-26,NVDA,0.0
2016-08-11,NVDA,0.3843
2016-08-12,NVDA,0.6808
2016-10-24,NVDA,0.4215
2016-11-07,NVDA,0.0
2016-11-10,NVDA,-0.4879
2016-11-11,NVDA,0.009500000000000064
2016-11-14,NVDA,0.7844999999999999
2016-11-16,NVDA,0.7478999999999999
2016-12-01,NVDA,-0.2732
2016-12-12,NVDA,0.6658
2016-12-14,NVDA,0.4767
2016-12-20,NVDA,0.744
2016-12-27,NVDA,0.0
2016-12-28,NVDA,0.4043
2017-01-09,NVDA,0.3182
2017-02-09,NVDA,-0.3278
2017-02-10,NVDA,0.8661
2017-02-24,NVDA,0.0
2017-04-04,NVDA,-0.369
2017-04-10,NVDA,-0.2413
2017-05-09,NVDA,0.8092
2017-05-11,NVDA,0.4805
2017-05-19,NVDA,0.0
2017-05-26,NVDA,0.5535
2017-05-30,NVDA,0.3818
2017-06-08,NVDA,0.0
2017-06-09,NVDA,0.5106
2017-06-20,NVDA,-0.3419
2017-08-10,NVDA,0.1058
2017-08-14,NVDA,0.5071283543804262
2017-09-11,NVDA,0.0
2017-09-15,NVDA,0.0
2017-09-18,NVDA,0.0
2017-09-27,NVDA,0.5423
2017-09-29,NVDA,0.0
2017-10-10,NVDA,0.0
2017-10-11,NVDA,0.0
2017-10-13,NVDA,0.0
2017-11-09,NVDA,0.4473396003885111
2017-11-10,NVDA,0.18330000000000002
2017-12-12,NVDA,0.296
2017-12-13,NVDA,0.0
2018-01-05,NVDA,0.18330000000000002
2018-01-10,NVDA,0.2023
2018-01-16,NVDA,0.0
2018-01-19,NVDA,0.0
2018-02-02,NVDA,0.25
2018-02-05,NVDA,0.0
2018-02-08,NVDA,0.5736
2018-02-09,NVDA,0.0
2018-02-13,NVDA,0.296
2018-03-12,NVDA,0.0
2018-03-14,NVDA,0.0
2018-03-22,NVDA,0.0
2018-03-27,NVDA,-0.7008602270829855
2018-03-29,NVDA,0.0
2018-04-02,NVDA,-0.3182
2018-04-03,NVDA,0.2023
2018-04-04,NVDA,0.0
2018-04-05,NVDA,-0.2732
2018-04-09,NVDA,-0.3612
2018-04-10,NVDA,0.0
2018-04-13,NVDA,0.8338
2018-05-07,NVDA,0.18330000000000002
2018-05-10,NVDA,0.2556
2018-05-11,NVDA,0.18330000000000002
2018-05-14,NVDA,0.0
2018-05-18,NVDA,0.0
2018-06-06,NVDA,0.0
2018-06-18,NVDA,0.0
2018-06-26,NVDA,0.0
2018-06-27,NVDA,0.296
2018-07-12,NVDA,0.4767
2018-08-13,NVDA,0.0
2018-08-16,NVDA,0.3331
2018-08-17,NVDA,0.0
2018-08-21,NVDA,0.128
2018-08-22,NVDA,0.0
2018-09-04,NVDA,0.5994
2018-09-14,NVDA,0.0
2018-09-28,NVDA,0.0
2018-10-10,NVDA,0.0
2018-10-22,NVDA,0.2208
2018-10-23,NVDA,-0.1901
2018-11-19,NVDA,0.3818
2018-11-20,NVDA,0.34
2018-11-21,NVDA,0.0
2018-11-28,NVDA,0.7003
2018-12-03,NVDA,0.3818
2018-12-14,NVDA,0.0
2019-01-25,NVDA,0.4548
2019-03-19,NVDA,0.4588
2019-05-16,NVDA,-0.1501
2019-06-26,NVDA,0.0
2019-06-27,NVDA,0.0
2019-07-02,NVDA,0.9136
2019-07-11,NVDA,0.296
2019-07-30,NVDA,0.5457
2019-08-13,NVDA,-0.128
2019-08-15,NVDA,0.1916
2019-08-21,NVDA,0.0
2019-08-29,NVDA,0.296
2019-10-07,NVDA,0.0
2019-10-28,NVDA,0.0
2019-11-11,NVDA,0.0
2019-11-12,NVDA,0.18330000000000002
2019-11-25,NVDA,-0.2001
2019-12-20,NVDA,0.4215
